userId;Geschlecht;Tonlage;Klang;Lautstaerke;Sprache;Gespraechsorientierung;Anrede;Satzpause;Sprechgeschwindigkeit;Satzlaenge;Ausdruck;alternative Keywords
1;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
2;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
3;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
4;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
5;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
6;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
7;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
8;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
9;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
10;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
11;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
12;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
13;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
14;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
15;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
16;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
17;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
18;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
19;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
20;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
21;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
22;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
23;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
24;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
25;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
26;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
27;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
28;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
29;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
30;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
31;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
32;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
33;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
34;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
35;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
36;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
37;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
38;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
39;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
40;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
41;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
42;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
43;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
44;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
45;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
46;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
47;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
48;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
49;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
50;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
51;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
52;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
53;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
54;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
55;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
56;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
57;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
58;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
59;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
60;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
61;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
62;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
63;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
64;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
65;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
66;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
67;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
68;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
69;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
70;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
71;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
72;maennlich;tief;natuerlich;3;Deutsch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;ja;
73;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
74;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
75;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
76;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
77;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
78;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
79;maennlich;tief;natuerlich;3;Englisch;Aufgaben orientiert;Du;kurz;langsam;vereinfacht;nein;
